DataLoader: found 20 files matching finewebedu10B/finewebedu_train_*.bin
/workspace/nanoGPT_1GPU_SPEEDRUN/train_gpt2_3060ti.py:307: UserWarning: The given buffer is not writable, and PyTorch does not support non-writable tensors. This means you can write to the underlying (supposedly non-writable) buffer using the tensor. You may want to copy the buffer to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:1581.)
  return torch.frombuffer(f.read(), dtype=torch.uint16)[256*2:]
DataLoader: found 1 files matching finewebedu10B/finewebedu_val_*.bin
Running in BF16 mode (no FP8 - RTX 3060 Ti)
Run ID: a99f82f1-58ad-45e4-9678-f42e8b823970
GPU: RTX 3060 Ti (8GB)
Config: batch_size=8, seq_len=12288, iters=7000
Tokens per step: 98,304
Total tokens: 688.1M
Val every 250 steps, checkpoint every 500 steps

Step	Loss	ValLoss	Time(ms)	kt/s	Window	ETA(m)
228	5.000		2774	35.4	256	313.1
229	5.344		2772	35.5	256	312.9
230	5.375		2772	35.5	256	312.8
231	5.000		2775	35.4	256	313.1
232	5.094		2772	35.5	256	312.8
233	5.500		2774	35.4	256	313.0
234	4.312		2776	35.4	256	313.1
235	5.219		2773	35.4	256	312.8
236	5.594		2775	35.4	256	312.9
237	5.875		2774	35.4	256	312.8
238	5.031		2773	35.5	256	312.5
239	4.812		2774	35.4	256	312.6
240	5.156		2772	35.5	256	312.3
241	5.344		2773	35.4	256	312.4
242	5.031		2773	35.4	256	312.4
243	5.125		2775	35.4	256	312.6
244	5.000		2774	35.4	256	312.4
245	5.438		2774	35.4	256	312.3
246	5.312		2771	35.5	256	312.0
247	4.938		2776	35.4	256	312.5
248	5.000		2775	35.4	256	312.3
249	5.781		2773	35.4	256	312.1
250	5.281		2777	35.4	256	312.4
251	5.312	5.418	2772	35.5	256	311.8
252	5.344		2774	35.4	256	312.0
253	5.531		2773	35.4	256	311.9
254	5.406		2774	35.4	256	312.0
255	5.000		2772	35.5	256	311.6
256	5.250		2771	35.5	256	311.5
257	5.188		2773	35.5	256	311.7
258	5.125		2774	35.4	256	311.7
259	5.062		2775	35.4	256	311.8
260	5.188		2773	35.5	256	311.5
261	5.125		2772	35.5	256	311.4
262	5.281		2774	35.4	256	311.6
263	5.156		2774	35.4	256	311.5
264	5.469		2775	35.4	256	311.5
265	5.156		2772	35.5	256	311.2
266	5.375		2774	35.4	256	311.4
267	5.250		2772	35.5	256	311.1
268	5.438		2773	35.4	256	311.2
269	4.656		2774	35.4	256	311.2
270	5.500		2776	35.4	256	311.4
271	5.125		2773	35.5	256	311.0
272	5.312		2776	35.4	256	311.4
273	5.156		2772	35.5	256	310.8
274	5.312		2774	35.4	256	311.0
275	5.250		2772	35.5	256	310.8
276	5.125		2772	35.5	256	310.7
277	5.344		2779	35.4	256	311.4
278	5.312		2774	35.4	256	310.8
279	5.156		2772	35.5	256	310.6
280	5.844		2776	35.4	256	311.0
281	5.031		2775	35.4	256	310.8
282	5.156		2774	35.4	256	310.7
283	5.125		2773	35.4	256	310.5
284	5.156		2778	35.4	256	311.0
285	5.188		2775	35.4	256	310.7
286	5.188		2773	35.5	256	310.3
287	5.031		2772	35.5	256	310.2
288	5.000		2775	35.4	256	310.5
289	4.969		2776	35.4	256	310.5
290	5.188		2774	35.4	256	310.3
291	4.938		2772	35.5	256	310.0
292	4.875		2776	35.4	256	310.4
293	4.875		2775	35.4	256	310.3
294	4.812		2771	35.5	256	309.7
295	5.188		2777	35.4	256	310.3
296	5.062		2776	35.4	256	310.2
297	5.000		2775	35.4	256	310.0
298	5.062		2774	35.4	256	309.9
299	4.781		2772	35.5	256	309.7
300	4.844		2775	35.4	256	309.9
301	5.312		2779	35.4	256	310.3
302	5.188		2776	35.4	256	309.9
303	5.000		2772	35.5	256	309.5
304	5.094		2775	35.4	256	309.8
305	5.094		2774	35.4	256	309.6
306	5.062		2774	35.4	256	309.5
